true_ppv,5,10,15,25,50,75,100,150,200,500
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.016,0.116
0.7,0.0,0.0,0.0,0.0,0.0,0.008,0.014,0.048,0.174,0.872
0.75,0.0,0.0,0.0,0.0,0.014,0.042,0.136,0.45,0.768,1.0
0.8,0.0,0.0,0.0,0.008,0.038,0.262,0.558,0.876,0.994,1.0
0.85,0.0,0.0,0.0,0.016,0.198,0.67,0.934,1.0,1.0,1.0
0.9,0.0,0.0,0.0,0.086,0.622,0.956,1.0,1.0,1.0,1.0
0.95,0.0,0.0,0.0,0.268,0.964,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
