true_ppv,5,10,15,25,50,75,100,150,200,500
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.132
0.6,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.06,0.108,0.828
0.65,0.0,0.0,0.0,0.0,0.0,0.034,0.086,0.362,0.64,1.0
0.7,0.0,0.0,0.0,0.0,0.02,0.138,0.382,0.814,0.978,1.0
0.75,0.0,0.0,0.0,0.0,0.102,0.472,0.778,0.998,1.0,1.0
0.8,0.0,0.0,0.0,0.004,0.322,0.822,0.974,1.0,1.0,1.0
0.85,0.0,0.0,0.0,0.024,0.706,0.99,0.998,1.0,1.0,1.0
0.9,0.0,0.0,0.0,0.092,0.946,1.0,1.0,1.0,1.0,1.0
0.95,0.0,0.0,0.0,0.26,0.998,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
