dataset,domain,trial_id,cohort_id,tau,ulsif_certified,kliep_certified,disagree,decision_type,ulsif_lb,kliep_lb,ulsif_neff,kliep_neff,mean_neff,neff_ratio,boundary_dist,neff_bin,dist_bin
bbbp,molecular,0,0,0.5,True,True,False,both_certify,0.7368370650096965,0.7136201307844293,272.7170589599225,274.184074944483,273.45056695220273,1.0053792600659281,0.21362013078442932,100-300,>0.20
bbbp,molecular,0,0,0.6,True,True,False,both_certify,0.7368370650096965,0.7136201307844293,272.7170589599225,274.184074944483,273.45056695220273,1.0053792600659281,0.11362013078442934,100-300,0.10 to 0.20
bbbp,molecular,0,1,0.5,True,True,False,both_certify,0.589510417011897,0.5651837276895171,217.1371943100539,218.7592582632745,217.94822628666418,1.007470226178314,0.06518372768951708,100-300,0.05 to 0.10
bbbp,molecular,0,2,0.5,True,True,False,both_certify,0.6985254493235648,0.6771772568464073,225.421033284213,227.3847672354361,226.40290025982455,1.0087114051542263,0.17717725684640728,100-300,0.10 to 0.20
bbbp,molecular,0,2,0.6,True,True,False,both_certify,0.6985254493235648,0.6771772568464073,225.421033284213,227.3847672354361,226.40290025982455,1.0087114051542263,0.0771772568464073,100-300,0.05 to 0.10
bbbp,molecular,0,3,0.5,True,True,False,both_certify,0.6639095869261147,0.6535576792725843,284.5713344662899,284.90547341867307,284.73840394248145,1.0011741834538952,0.15355767927258435,100-300,0.10 to 0.20
bbbp,molecular,0,3,0.6,True,True,False,both_certify,0.6639095869261147,0.6535576792725843,284.5713344662899,284.90547341867307,284.73840394248145,1.0011741834538952,0.05355767927258437,100-300,0.05 to 0.10
bbbp,molecular,0,4,0.5,True,True,False,both_certify,0.69493544598743,0.6693402374772416,294.3206358574127,292.6146621894754,293.46764902344404,1.0058301031642518,0.16934023747724158,100-300,0.10 to 0.20
bbbp,molecular,0,4,0.6,True,True,False,both_certify,0.69493544598743,0.6693402374772416,294.3206358574127,292.6146621894754,293.46764902344404,1.0058301031642518,0.0693402374772416,100-300,0.05 to 0.10
bbbp,molecular,1,0,0.5,True,True,False,both_certify,0.7615022721547194,0.7378871614750637,296.70233559245713,298.8248857941377,297.76361069329744,1.00715380348268,0.23788716147506372,100-300,>0.20
bbbp,molecular,1,0,0.6,True,True,False,both_certify,0.7615022721547194,0.7378871614750637,296.70233559245713,298.8248857941377,297.76361069329744,1.00715380348268,0.13788716147506375,100-300,0.10 to 0.20
bbbp,molecular,1,0,0.7,True,False,True,ulsif_only,0.7615022721547194,0.7378871614750637,296.70233559245713,298.8248857941377,297.76361069329744,1.00715380348268,0.061502272154719484,100-300,0.05 to 0.10
bbbp,molecular,1,1,0.5,True,True,False,both_certify,0.6195583526542137,0.5948611584056015,208.05787888251285,209.5322794372378,208.79507915987534,1.0070864922907223,0.0948611584056015,100-300,0.05 to 0.10
bbbp,molecular,1,2,0.5,True,True,False,both_certify,0.6844400357209941,0.6636653403779722,188.8553620848817,189.8206643326354,189.33801320875855,1.0051113308994628,0.1636653403779722,100-300,0.10 to 0.20
bbbp,molecular,1,2,0.6,True,True,False,both_certify,0.6844400357209941,0.6636653403779722,188.8553620848817,189.8206643326354,189.33801320875855,1.0051113308994628,0.06366534037797222,100-300,0.05 to 0.10
bbbp,molecular,1,3,0.5,True,True,False,both_certify,0.6399091354618912,0.62285189922234,299.7116777227518,299.1372476111246,299.4244626669382,1.0019202894865635,0.12285189922233997,100-300,0.10 to 0.20
bbbp,molecular,1,4,0.5,True,True,False,both_certify,0.6913726349856184,0.6632355236876907,311.25861418648384,308.91229199006824,310.08545308827604,1.0075954316395122,0.16323552368769068,300+,0.10 to 0.20
bbbp,molecular,1,4,0.6,True,True,False,both_certify,0.6913726349856184,0.6632355236876907,311.25861418648384,308.91229199006824,310.08545308827604,1.0075954316395122,0.0632355236876907,300+,0.05 to 0.10
bbbp,molecular,2,0,0.5,True,True,False,both_certify,0.7335510614815378,0.7136288296181508,277.2183840732324,274.92876317896844,276.0735736261004,1.0083280514842803,0.21362882961815077,100-300,>0.20
bbbp,molecular,2,0,0.6,True,True,False,both_certify,0.7335510614815378,0.7136288296181508,277.2183840732324,274.92876317896844,276.0735736261004,1.0083280514842803,0.1136288296181508,100-300,0.10 to 0.20
bbbp,molecular,2,1,0.5,True,True,False,both_certify,0.6285502871340941,0.6156857028467683,240.48890773979852,235.24132100178943,237.86511437079398,1.022307249065181,0.11568570284676827,100-300,0.10 to 0.20
bbbp,molecular,2,2,0.5,True,True,False,both_certify,0.6959501764374504,0.6683183272098597,193.6893723870804,193.5934442198146,193.6414083034475,1.0004955135110716,0.16831832720985973,100-300,0.10 to 0.20
bbbp,molecular,2,2,0.6,True,True,False,both_certify,0.6959501764374504,0.6683183272098597,193.6893723870804,193.5934442198146,193.6414083034475,1.0004955135110716,0.06831832720985975,100-300,0.05 to 0.10
bbbp,molecular,2,3,0.5,True,True,False,both_certify,0.6398121387681323,0.6321979199219044,305.3043692251862,303.57034653203453,304.4373578786103,1.0057120951139036,0.13219791992190444,300+,0.10 to 0.20
bbbp,molecular,2,4,0.5,True,True,False,both_certify,0.7085311833056536,0.6720167175915164,303.50842245542185,294.7338989455732,299.1211607004975,1.0297710020504598,0.17201671759151638,100-300,0.10 to 0.20
bbbp,molecular,2,4,0.6,True,True,False,both_certify,0.7085311833056536,0.6720167175915164,303.50842245542185,294.7338989455732,299.1211607004975,1.0297710020504598,0.0720167175915164,100-300,0.05 to 0.10
bbbp,molecular,3,0,0.5,True,True,False,both_certify,0.7238015245737764,0.6775454260071762,285.7696245940263,283.7910149110647,284.7803197525455,1.0069720659887054,0.17754542600717615,100-300,0.10 to 0.20
bbbp,molecular,3,0,0.6,True,True,False,both_certify,0.7238015245737764,0.6775454260071762,285.7696245940263,283.7910149110647,284.7803197525455,1.0069720659887054,0.07754542600717618,100-300,0.05 to 0.10
bbbp,molecular,3,1,0.5,True,True,False,both_certify,0.6456106951036653,0.6123015550000546,231.89106422224015,224.5377286056924,228.21439641396626,1.0327487752824864,0.11230155500005456,100-300,0.10 to 0.20
bbbp,molecular,3,2,0.5,True,True,False,both_certify,0.6784919153912237,0.6470307017894821,190.3871631568628,190.06419714901364,190.22568015293822,1.0016992469528385,0.14703070178948208,100-300,0.10 to 0.20
bbbp,molecular,3,2,0.6,True,False,True,ulsif_only,0.6784919153912237,0.6470307017894821,190.3871631568628,190.06419714901364,190.22568015293822,1.0016992469528385,0.07849191539122369,100-300,0.05 to 0.10
bbbp,molecular,3,3,0.5,True,True,False,both_certify,0.635323268034647,0.6113447093701916,291.9558224355296,288.90428776190134,290.43005509871546,1.0105624416212997,0.11134470937019159,100-300,0.10 to 0.20
bbbp,molecular,3,4,0.5,True,True,False,both_certify,0.7025569351212512,0.6598647064451013,299.7442958909596,291.4633377402307,295.60381681559517,1.0284116630754754,0.1598647064451013,100-300,0.10 to 0.20
bbbp,molecular,3,4,0.6,True,True,False,both_certify,0.7025569351212512,0.6598647064451013,299.7442958909596,291.4633377402307,295.60381681559517,1.0284116630754754,0.059864706445101334,100-300,0.05 to 0.10
bbbp,molecular,4,0,0.5,True,True,False,both_certify,0.7118301830017575,0.6689431559018105,275.1974668038191,276.89751709106724,276.0474919474432,1.006177565175264,0.16894315590181053,100-300,0.10 to 0.20
bbbp,molecular,4,0,0.6,True,True,False,both_certify,0.7118301830017575,0.6689431559018105,275.1974668038191,276.89751709106724,276.0474919474432,1.006177565175264,0.06894315590181055,100-300,0.05 to 0.10
bbbp,molecular,4,1,0.5,True,True,False,both_certify,0.6110143198763233,0.5722101754833246,242.7937032570949,241.9723723669437,242.3830378120193,1.0033943168061588,0.07221017548332465,100-300,0.05 to 0.10
bbbp,molecular,4,2,0.5,True,True,False,both_certify,0.6784905093989926,0.6380674916317289,188.72386989069184,188.4718241337269,188.59784701220937,1.0013373126626404,0.13806749163172893,100-300,0.10 to 0.20
bbbp,molecular,4,2,0.6,True,False,True,ulsif_only,0.6784905093989926,0.6380674916317289,188.72386989069184,188.4718241337269,188.59784701220937,1.0013373126626404,0.0784905093989926,100-300,0.05 to 0.10
bbbp,molecular,4,3,0.5,True,True,False,both_certify,0.6567311502702987,0.6235277922983147,281.3076786963085,279.87336847209104,280.5905235841998,1.0051248542583662,0.12352779229831468,100-300,0.10 to 0.20
bbbp,molecular,4,3,0.6,True,False,True,ulsif_only,0.6567311502702987,0.6235277922983147,281.3076786963085,279.87336847209104,280.5905235841998,1.0051248542583662,0.056731150270298736,100-300,0.05 to 0.10
