sigma,config,n_false,n_trials,fwer,wilson_lo,wilson_hi,criterion_met
0.5,ungated,0,10000,0.0,0.0,0.00038399837067659573,True
0.5,khat_only,0,10000,0.0,0.0,0.00038399837067659573,True
0.5,ess_only,0,10000,0.0,0.0,0.00038399837067659573,True
0.5,neff_ess_gated,0,10000,0.0,0.0,0.00038399837067659573,True
1.0,ungated,0,10000,0.0,0.0,0.00038399837067659573,True
1.0,khat_only,0,10000,0.0,0.0,0.00038399837067659573,True
1.0,ess_only,0,10000,0.0,0.0,0.00038399837067659573,True
1.0,neff_ess_gated,0,10000,0.0,0.0,0.00038399837067659573,True
1.5,ungated,0,10000,0.0,0.0,0.00038399837067659573,True
1.5,khat_only,0,10000,0.0,0.0,0.00038399837067659573,True
1.5,ess_only,0,10000,0.0,0.0,0.00038399837067659573,True
1.5,neff_ess_gated,0,10000,0.0,0.0,0.00038399837067659573,True
2.0,ungated,0,10000,0.0,0.0,0.00038399837067659573,True
2.0,khat_only,0,10000,0.0,0.0,0.00038399837067659573,True
2.0,ess_only,0,10000,0.0,0.0,0.00038399837067659573,True
2.0,neff_ess_gated,0,10000,0.0,0.0,0.00038399837067659573,True
