config,pathology,variant,mean_cert_rate,fwer_violations,n_trials,total_certified,total_false,mean_n_eff,mean_coverage,mean_gated,mean_ess_frac,mean_weight_cv,observed_fwer
small_n_adversarial,adversarial,naive_clipped_99,0.0048,0,100,24,0,14.557657584858964,0.8571428571428571,0.0,0.013388228199522874,10.006462899772973,0.0
small_n_adversarial,adversarial,naive_ess_gated,0.0006,0,100,3,0,23.371146825396828,1.0,3.95,0.013388228199522874,10.006462899772973,0.0
small_n_adversarial,adversarial,naive_ungated,0.0048,0,100,24,0,14.548640376264245,0.8571428571428571,0.0,0.013388228199522874,10.006462899772973,0.0
small_n_adversarial,adversarial,neff_ess_gated,0.0006,0,100,3,0,23.371146825396828,1.0,3.95,0.013388228199522874,10.006462899772973,0.0
small_n_adversarial,adversarial,neff_ungated,0.0006,0,100,3,0,14.548640376264245,1.0,0.0,0.013388228199522874,10.006462899772973,0.0
small_n_heavy_tails,heavy_tails,naive_clipped_99,0.0024,0,100,12,0,13.284329615792563,0.9,0.0,0.23044308826318047,2.38262320452203,0.0
small_n_heavy_tails,heavy_tails,naive_ess_gated,0.0018,0,100,9,0,13.090731181162152,0.8888888888888888,0.53,0.23044308826318047,2.38262320452203,0.0
small_n_heavy_tails,heavy_tails,naive_ungated,0.0028000000000000004,0,100,14,0,12.565726343854383,0.9090909090909091,0.0,0.23044308826318047,2.38262320452203,0.0
small_n_heavy_tails,heavy_tails,neff_ess_gated,0.0,0,100,0,0,13.090731181162152,,0.53,0.23044308826318047,2.38262320452203,0.0
small_n_heavy_tails,heavy_tails,neff_ungated,0.0,0,100,0,0,12.565726343854383,,0.0,0.23044308826318047,2.38262320452203,0.0
usable_adversarial,adversarial,naive_clipped_99,0.5072,64,100,1268,117,28.99014415363025,0.3719272458577272,0.0,0.00742822028544563,16.70745162656922,0.64
usable_adversarial,adversarial,naive_ess_gated,0.0028000000000000004,0,100,7,0,92.96153846153844,1.0,4.86,0.00742822028544563,16.70745162656922,0.0
usable_adversarial,adversarial,naive_ungated,0.5512,74,100,1378,151,5.984863916635724,0.2600471906070461,0.0,0.00742822028544563,16.70745162656922,0.74
usable_adversarial,adversarial,neff_ess_gated,0.0028000000000000004,0,100,7,0,92.96153846153844,1.0,4.86,0.00742822028544563,16.70745162656922,0.0
usable_adversarial,adversarial,neff_ungated,0.0028000000000000004,0,100,7,0,5.984863916635724,1.0,0.0,0.00742822028544563,16.70745162656922,0.0
usable_good_weights,well_behaved,naive_clipped_99,0.4288,6,100,1072,6,185.1760285606341,0.8762471694971695,0.0,0.913941622101255,0.3068276103006271,0.06
usable_good_weights,well_behaved,naive_ess_gated,0.4268,6,100,1067,6,184.4473951661599,0.8760198967698968,0.0,0.913941622101255,0.3068276103006271,0.06
usable_good_weights,well_behaved,naive_ungated,0.4268,6,100,1067,6,184.4473951661599,0.8760198967698968,0.0,0.913941622101255,0.3068276103006271,0.06
usable_good_weights,well_behaved,neff_ess_gated,0.406,5,100,1015,5,184.4473951661599,0.8957619047619048,0.0,0.913941622101255,0.3068276103006271,0.05
usable_good_weights,well_behaved,neff_ungated,0.406,5,100,1015,5,184.4473951661599,0.8957619047619048,0.0,0.913941622101255,0.3068276103006271,0.05
usable_heavy_tails,heavy_tails,naive_clipped_99,0.4364,7,100,1091,7,89.04897074448641,0.8588508648214531,0.0,0.16158292532220653,2.874964745471419,0.07
usable_heavy_tails,heavy_tails,naive_ess_gated,0.348,6,100,870,6,69.44155660120452,0.8294555893040741,1.0,0.16158292532220653,2.874964745471419,0.06
usable_heavy_tails,heavy_tails,naive_ungated,0.4468,7,100,1117,7,59.651693084094525,0.8322068699274581,0.0,0.16158292532220653,2.874964745471419,0.07
usable_heavy_tails,heavy_tails,neff_ess_gated,0.0924,0,100,231,0,69.44155660120452,0.9864583333333334,1.0,0.16158292532220653,2.874964745471419,0.0
usable_heavy_tails,heavy_tails,neff_ungated,0.0924,0,100,231,0,59.651693084094525,0.9864583333333334,0.0,0.16158292532220653,2.874964745471419,0.0
usable_moderate_tails,moderate_tails,naive_clipped_99,0.4384,7,100,1096,7,92.19070296461645,0.8497753014958898,0.0,0.37509096135827913,1.295580875974582,0.07
usable_moderate_tails,moderate_tails,naive_ess_gated,0.4364,7,100,1091,8,80.69748689917296,0.8383781912531912,0.02,0.37509096135827913,1.295580875974582,0.07
usable_moderate_tails,moderate_tails,naive_ungated,0.43799999999999994,7,100,1095,8,80.41955407160991,0.8388543817293816,0.0,0.37509096135827913,1.295580875974582,0.07
usable_moderate_tails,moderate_tails,neff_ess_gated,0.1576,0,100,394,0,80.69748689917296,0.9677777777777777,0.02,0.37509096135827913,1.295580875974582,0.0
usable_moderate_tails,moderate_tails,neff_ungated,0.1576,0,100,394,0,80.41955407160991,0.9677777777777777,0.0,0.37509096135827913,1.295580875974582,0.0
