dataset,domain,cp_cert_pct,ulsif_cert_pct,cp_n_eff,ulsif_n_eff,cp_advantage
bace,molecular,0.47244094488188976,0.31496062992125984,1.015748031496063,0.6055221957189554,0.15748031496062992
bbbp,molecular,0.6299212598425197,0.6299212598425197,2.8976377952755907,1.7914270472428402,0.0
clintox,molecular,0.7272727272727273,0.7272727272727273,2.672727272727273,1.403125275478283,0.0
esol,molecular,6.666666666666667,6.666666666666667,24.666666666666668,24.38699814939154,0.0
adult,tabular,3.2653061224489797,2.4489795918367347,39.36734693877551,37.31655672273939,0.8163265306122449
compas,tabular,16.315789473684212,8.421052631578947,15.842105263157896,15.165993257554701,7.8947368421052655
bank,tabular,4.0,0.0,57.5,53.513839387425286,4.0
german_credit,tabular,0.0,0.0,3.5,2.3249450438784027,0.0
imdb,text,60.0,60.0,538.5,538.4391152165399,0.0
yelp,text,64.0,62.0,424.8,424.7929791365906,2.0
